X_id,ADDRESS,APPLICATION_FOR,BALLOTS_BLANK,BALLOTS_CAST,BALLOTS_DISTRIBUTED,BALLOTS_IN_FAVOUR,BALLOTS_NEEDED_TO_PROCEED,BALLOTS_NEEDED_TO_PROCEED_LBL,BALLOTS_OPPOSED,BALLOTS_RECEIVED_BY_VOTERS,BALLOTS_RETURNED_TO_SENDER,BALLOTS_SPOILED,CLOSE_DATE,DECLARATIONS_ADDED,FINAL_VOTER_COUNT,MORATORIUM_DATE,OPEN_DATE,PASS_RATE,PASS_RATE_LABEL,POLL_CD,POLL_ID,POLL_RESULT,POTENTIAL_VOTERS,RESPONSE_RATE_MET
778522,8 Brumell Ave,Front Yard Parking,0,18,34,16,9,25% of ballots received by voters,1,34,0,1,2015-05-31,0,34,2018-06-01,2015-05-01,10,50% + 1 of received ballots,FYP 2015-104,170,In Favour,41,Yes
778523,90 Belsize Dr,Front Yard Parking,0,30,36,30,9,25% of ballots received by voters,0,36,0,0,2015-06-03,0,36,2018-06-04,2015-05-04,16,50% + 1 of received ballots,FYP 2015-106,172,In Favour,40,Yes
778524,376 Roehampton Ave,Front Yard Parking,0,43,97,37,23,25% of ballots received by voters,3,91,6,3,2015-06-11,0,97,2018-06-12,2015-05-12,23,50% + 1 of received ballots,FYP 2015-108,174,In Favour,135,Yes
778525,,Traffic Calming,0,137,334,101,159,50% + 1 of ballots received by voters,31,316,18,5,2015-06-04,0,334,2017-06-05,2015-05-06,N/A,60% of received ballots,TCP 2015-110,176,Response Rate Not Met,379,No
778526,889 Queen St E,Boulevard Cafe,0,30,106,19,26,25% of ballots received by voters,10,103,3,1,2015-06-05,0,106,2017-06-06,2015-05-06,16,50% + 1 of received ballots,BCP 2015-111,177,In Favour,120,Yes
778527,,Traffic Calming,0,63,235,42,102,50% + 1 of ballots received by voters,20,202,33,1,2015-06-11,0,235,2017-06-12,2015-05-13,N/A,60% of received ballots,TCP 2015-112,178,Response Rate Not Met,245,No
778528,1747 Eglinton Ave W,Commercial Boulevard Parking,0,26,235,13,51,25% of ballots received by voters,11,204,31,2,2015-06-09,0,235,2017-06-10,2015-05-11,N/A,50% + 1 of received ballots,CBP 2015-113,179,Response Rate Not Met,333,No
778529,24 Harlton Cres,Appeal - Front Yard Parking,0,35,109,29,25,25% of ballots received by voters,1,99,10,5,2015-06-26,0,109,2018-06-27,2015-05-28,19,50% + 1 of received ballots,FYPA 2015-114,180,In Favour,144,Yes
778530,,Traffic Calming,0,101,340,44,167,50% + 1 of ballots received by voters,27,332,8,30,2015-10-14,0,340,2017-10-15,2015-09-14,N/A,60% of received ballots,TCP 2015-116,182,Response Rate Not Met,459,No
778531,291 Deloraine Ave,Front Yard Parking,0,48,80,44,20,25% of ballots received by voters,3,79,1,1,2015-06-23,0,80,2018-06-24,2015-05-25,25,50% + 1 of received ballots,FYP 2015-117,183,In Favour,100,Yes
